resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Senior software engineer with 10 years of experience building large-scale distributed systems for cloud platforms. Strong focus on scalability, reliability, and architecture. Skills: Java, Go, Kubernetes, Docker, PostgreSQL, Cassandra, Kafka, REST APIs, AWS, Terraform, CI/CD, Microservices. Principal Engineer, CloudScale (2018-present): Designed distributed systems handling 100K TPS, reduced downtime by 50%, led multi-region deployments. Senior Engineer, TechCore (2015-2018): Built backend services and optimized performance. Education: B.Tech Computer Science, IIT Delhi.","Principal Backend Engineer at cloud infrastructure company. Required skills: Java or Go, Kubernetes, PostgreSQL or Cassandra, Kafka, AWS, microservices, distributed systems. Responsibilities: design large-scale systems, ensure reliability, lead architecture decisions. Preferred: multi-region deployment experience.",0.95,high,high,69,34
"Machine learning engineer with 7 years of experience in computer vision and deep learning systems. Strong expertise in deploying ML models in production. Skills: Python, PyTorch, TensorFlow, OpenCV, Computer Vision, CNNs, SQL, Docker, AWS, Model Deployment, Data Pipelines. ML Engineer, VisionAI (2019-present): Built image recognition systems improving accuracy by 30%, deployed models on AWS. Data Scientist, DeepLab (2016-2019): Developed CV models for detection tasks. Education: M.Tech AI, IIT Bombay.","Senior ML Engineer at AI startup. Required skills: Python, PyTorch or TensorFlow, computer vision, OpenCV, AWS, Docker. Responsibilities: build and deploy CV models, optimize performance. Preferred: production ML experience.",0.92,high,high,69,29
"Product manager with 7 years of experience in fintech and digital payments. Strong focus on user experience and growth. Skills: Product Strategy, Roadmapping, Agile, SQL, Analytics, A/B Testing, User Research, Stakeholder Management, Jira. Senior PM, PayFlow (2019-present): Increased transaction volume by 35%, launched payment features. PM, FinTech Labs (2016-2019): Improved onboarding flows. Education: MBA, IIM Bangalore.","Senior Product Manager at fintech company. Required skills: product strategy, analytics, SQL, A/B testing, agile. Responsibilities: define roadmap, improve product metrics. Preferred: fintech experience.",0.9,high,high,56,24
"Data engineer with 8 years of experience in big data and real-time processing systems. Strong expertise in streaming pipelines. Skills: Python, SQL, Spark, Kafka, Flink, Airflow, AWS, Hadoop, ETL, Data Modeling, Docker. Senior Data Engineer, StreamX (2019-present): Built pipelines processing 3TB daily, reduced latency by 55%. Data Engineer, DataHub (2015-2019): Developed ETL systems. Education: B.Tech CS, NIT Warangal.","Senior Data Engineer at data platform. Required skills: Python, SQL, Spark, Kafka, Airflow, AWS, ETL. Responsibilities: build streaming pipelines, process big data. Preferred: real-time processing experience.",0.93,high,high,58,26
"UX designer with 7 years of experience designing enterprise and consumer applications. Strong focus on usability and accessibility. Skills: Figma, Adobe XD, Prototyping, Wireframing, User Research, Usability Testing, Accessibility, Design Systems, Interaction Design. Senior UX Designer, UXFlow (2018-present): Improved usability scores by 30%, led research initiatives. Designer, CreativeUX (2015-2018): Built design systems. Education: B.Des, NID.","Senior UX Designer at product company. Required skills: Figma, user research, usability testing, design systems, accessibility. Responsibilities: design user journeys, improve UX. Preferred: enterprise design experience.",0.91,high,high,55,26
"Backend developer with 4 years of experience in Python and Django building APIs. Skilled in database design and backend systems. Skills: Python, Django, REST APIs, PostgreSQL, Git, Docker, AWS, OOP. Developer, CodeStack (2020-present): Built APIs and improved performance. Junior Dev, DevHub (2018-2020): Developed backend modules. Education: B.Tech CS.","Backend Engineer requiring Go, Kubernetes, distributed systems, AWS. Responsibilities: build scalable systems.",0.57,medium,medium,48,12
"Marketing analyst with 4 years of experience in campaign performance and analytics. Skilled in reporting and insights. Skills: Google Analytics, SQL, Excel, Tableau, Reporting, SEO, SEM, Data Visualization. Analyst, MarketPro (2020-present): Improved campaign ROI by 20%. Intern, AdLab (2018-2020): Assisted reporting. Education: MBA Marketing.","Marketing Director role requiring leadership, strategy, team management. Responsibilities: lead marketing function.",0.5,medium,medium,44,12
"HR specialist with 3 years of experience in recruitment and HR operations. Strong organizational skills. Skills: Recruitment, HRMS, Payroll, Communication, Onboarding, Employee Relations. HR Specialist, PeopleHub (2021-present): Managed hiring. HR Assistant (2019-2021): Supported onboarding. Education: MBA HR.","HR Manager requiring leadership, compliance, strategy. Responsibilities: lead HR operations.",0.46,medium,medium,37,10
"Finance analyst with 4 years of experience in reporting and budgeting. Analytical and detail-oriented. Skills: Excel, Financial Reporting, Budgeting, Forecasting, Accounting, Power BI, SQL. Analyst, FinCorp (2020-present): Built reports and forecasts. Intern, AuditPro (2018-2020): Assisted audits. Education: B.Com.","Finance Director role requiring leadership, financial strategy, advanced modeling. Responsibilities: lead finance team.",0.48,medium,medium,38,13
"Content strategist with 5 years of experience in SEO and digital marketing. Skilled in content planning and analytics. Skills: Content Strategy, SEO, Blogging, Copywriting, Analytics, Social Media, Research, Editing. Strategist, ContentHub (2019-present): Increased organic traffic by 40%. Writer, MediaLab (2016-2019): Created campaigns. Education: BA English.","Marketing Manager requiring leadership, campaign strategy, analytics. Responsibilities: manage campaigns and team.",0.52,medium,medium,45,12
"Senior software engineer with 8 years of experience building scalable microservices and distributed systems in e-commerce platforms. Strong expertise in backend performance and reliability. Skills: Java, Spring Boot, Kubernetes, Docker, PostgreSQL, Redis, Kafka, REST APIs, AWS, CI/CD, Microservices, System Design. Senior Engineer, ShopScale (2019-present): Designed order processing system handling 60K TPS, reduced failures by 35%, led microservices migration. Software Engineer, Cartify (2016-2019): Built backend services and improved latency. Education: B.Tech Computer Science, IIT Kharagpur.","Senior Backend Engineer at e-commerce startup. Required skills: Java, Spring Boot, Kubernetes, PostgreSQL, Redis, Kafka, REST APIs, AWS. Responsibilities: design scalable backend systems, optimize performance, handle high traffic. Preferred: e-commerce experience.",0.92,high,high,74,31
"Data scientist with 5 years of experience in predictive analytics and customer segmentation. Strong background in experimentation and modeling. Skills: Python, Scikit-learn, TensorFlow, SQL, Pandas, Statistics, Feature Engineering, A/B Testing, Data Visualization, AWS. Data Scientist, RetailAI (2020-present): Built segmentation models increasing retention by 20%, ran experiments improving conversion. Analyst, DataHub (2018-2020): Performed analysis and reporting. Education: M.Sc Data Science, IISc.","Data Scientist at retail analytics firm. Required skills: Python, ML, SQL, A/B testing, feature engineering. Responsibilities: build models, analyze customer data, run experiments. Preferred: retail experience.",0.89,high,high,60,26
"Product manager with 6 years of experience in B2B platforms and enterprise solutions. Strong focus on stakeholder alignment and delivery. Skills: Product Strategy, Agile, Roadmapping, SQL, Analytics, User Research, Stakeholder Management, Jira, Scrum. Product Manager, Enterprisely (2020-present): Delivered enterprise features increasing adoption by 30%. Associate PM, TechSuite (2017-2020): Managed backlog and roadmap. Education: MBA, IIM Kozhikode.","Product Manager at enterprise SaaS company. Required skills: product strategy, agile, analytics, SQL, stakeholder management. Responsibilities: define roadmap, align stakeholders, deliver features. Preferred: enterprise SaaS experience.",0.88,high,high,56,26
"DevOps engineer with 7 years of experience in cloud automation and infrastructure management. Strong in CI/CD and observability. Skills: AWS, Kubernetes, Docker, Terraform, Jenkins, CI/CD, Prometheus, Grafana, Linux, Networking, Git. Senior DevOps Engineer, CloudOps (2019-present): Reduced deployment time by 50%, implemented monitoring stack. DevOps Engineer, InfraWorks (2016-2019): Automated infrastructure provisioning. Education: B.Tech IT, NIT Surathkal.","Senior DevOps Engineer at SaaS company. Required skills: AWS, Kubernetes, Docker, Terraform, CI/CD, monitoring tools. Responsibilities: automate deployments, manage infrastructure, ensure uptime. Preferred: observability experience.",0.93,high,high,55,25
"UI designer with 5 years of experience creating user-friendly interfaces for web and mobile applications. Strong in visual design and usability. Skills: Figma, Adobe XD, Prototyping, Wireframing, User Research, Usability Testing, Design Systems, Interaction Design. UI Designer, DesignLab (2020-present): Redesigned product UI improving engagement by 25%. Junior Designer, CreativeUI (2018-2020): Designed layouts and components. Education: B.Des, NIFT.","UI/UX Designer at product company. Required skills: Figma, prototyping, usability testing, design systems, user research. Responsibilities: design interfaces, improve user experience. Preferred: mobile design experience.",0.9,high,high,57,25
"Backend developer with 3 years of experience in Node.js and Express building APIs. Skilled in backend services and integrations. Skills: Node.js, Express, MongoDB, REST APIs, JavaScript, Git, Docker, AWS. Developer, WebStack (2021-present): Built APIs and improved performance. Junior Dev, CodeLab (2019-2021): Developed backend modules. Education: B.Tech CS, IP University.","Backend Engineer requiring Python, Django, PostgreSQL, AWS, microservices. Responsibilities: build scalable backend systems.",0.55,medium,medium,49,13
"Marketing analyst with 3 years of experience in campaign analysis and reporting. Skilled in data-driven insights. Skills: Google Analytics, Excel, SQL, Tableau, Reporting, SEO, SEM, Data Visualization. Analyst, MarketInsights (2021-present): Improved campaign ROI by 18%. Intern, AdWorks (2019-2021): Assisted campaign reporting. Education: MBA Marketing.","Marketing Manager role requiring leadership, campaign strategy, analytics. Responsibilities: lead campaigns and teams.",0.49,medium,medium,44,13
"Junior HR executive with 2 years of experience in recruitment and onboarding. Strong communication skills. Skills: Recruitment, HRMS, Communication, Onboarding, Employee Relations, Excel. HR Exec, TalentHub (2022-present): Managed hiring pipeline. Intern, PeopleFirst (2021-2022): Assisted HR tasks. Education: MBA HR.","HR Manager role requiring leadership, payroll, strategy. Responsibilities: manage HR team.",0.44,medium,medium,39,11
"Finance executive with 3 years of experience in accounting and reporting. Detail-oriented and analytical. Skills: Excel, Accounting, Financial Reporting, Budgeting, Tally, Auditing. Executive, FinServe (2021-present): Managed accounts. Intern, AuditPro (2019-2021): Assisted audits. Education: B.Com.","Senior Financial Analyst requiring financial modeling, forecasting, SQL. Responsibilities: lead financial planning.",0.47,medium,medium,34,12
"Content writer with 4 years of experience in SEO and blogging. Skilled in content strategy. Skills: Content Writing, SEO, Blogging, Editing, Copywriting, Research, Social Media. Writer, MediaHub (2020-present): Increased blog traffic by 30%. Intern, WritePro (2018-2020): Created content. Education: BA English.","Marketing Manager requiring leadership, campaign strategy, analytics. Responsibilities: manage team and campaigns.",0.5,medium,medium,41,12
"Senior backend engineer with 9 years of experience designing high-throughput distributed systems for fintech and payments. Strong expertise in system design, reliability, and cloud-native architectures. Skills: Go, Python, Kubernetes, Docker, PostgreSQL, Redis, Kafka, gRPC, REST APIs, AWS, Terraform, CI/CD, microservices. Principal Engineer, PayGrid (2020-present): Designed payment orchestration platform handling 80K TPS, reduced latency by 45%, led PCI-compliant architecture. Senior Engineer, FinEdge (2017-2020): Built fraud detection pipelines using Kafka streams, improved uptime to 99.98%. Education: B.Tech Computer Science, IIT Bombay.","Principal Backend Engineer at Series C fintech company. Required skills: Go or Python, Kubernetes, PostgreSQL, Redis, Kafka, REST/gRPC, AWS, microservices. Responsibilities: design high-scale payment systems, ensure reliability and performance, lead architecture decisions, mentor engineers. Preferred: fintech or PCI-DSS experience.",0.95,high,high,79,39
"Data scientist with 6 years of experience in predictive modeling and experimentation in e-commerce. Strong background in recommendation systems and A/B testing. Skills: Python, Scikit-learn, TensorFlow, SQL, Pandas, NumPy, Feature Engineering, A/B Testing, Statistics, AWS, Docker. Senior Data Scientist, ShopAI (2020-present): Built recommendation system increasing conversion by 18%, led experimentation platform. Data Scientist, Retaillytics (2018-2020): Developed demand forecasting models. Education: M.S. Data Science, IISc Bangalore.","Senior Data Scientist at e-commerce platform. Required skills: Python, ML, SQL, A/B testing, feature engineering, AWS. Responsibilities: build recommendation models, run experiments, analyze user behavior. Preferred: recommender systems experience.",0.9,high,high,65,29
"Product manager with 5 years of experience in consumer mobile apps and growth. Strong focus on experimentation and user engagement. Skills: Product Strategy, Roadmapping, Agile, A/B Testing, SQL, Analytics, User Research, Funnel Analysis, Stakeholder Management. Product Manager, AppGrow (2021-present): Increased DAU by 30% through experiments, launched referral features. Associate PM, MobileWorks (2019-2021): Improved onboarding funnel. Education: MBA, IIM Indore.","Product Manager at consumer tech startup. Required skills: product strategy, A/B testing, analytics, SQL, agile. Responsibilities: drive growth, define roadmap, improve engagement. Preferred: mobile app experience.",0.87,high,high,59,26
"Cybersecurity engineer with 7 years of experience in threat detection and incident response for enterprise systems. Strong focus on security operations. Skills: SIEM, Splunk, Network Security, Incident Response, Python, Risk Assessment, IDS/IPS, Firewalls, Linux, Cloud Security. Security Engineer, SecureOps (2019-present): Detected and mitigated 200+ incidents, reduced response time by 35%. Analyst, CyberSafe (2016-2019): Monitored threats and vulnerabilities. Education: B.Tech IT, NIT Calicut.","Senior Cybersecurity Analyst at enterprise firm. Required skills: SIEM, network security, incident response, Python, risk assessment. Responsibilities: monitor threats, respond to incidents, manage vulnerabilities. Preferred: Splunk experience.",0.91,high,high,62,27
"UI/UX designer with 6 years of experience crafting intuitive user interfaces for web and mobile products. Strong in research and interaction design. Skills: Figma, Adobe XD, Prototyping, Wireframing, User Research, Usability Testing, Interaction Design, Design Systems, Accessibility. Senior Designer, UXWorks (2020-present): Redesigned checkout flow increasing conversion by 20%, led usability testing initiatives. Designer, CreativeUX (2017-2020): Built UI components and design systems. Education: B.Des, NID.","Senior UX Designer at product company. Required skills: Figma, prototyping, user research, usability testing, design systems. Responsibilities: design user journeys, conduct research, improve usability. Preferred: e-commerce experience.",0.89,high,high,64,27
"Frontend developer with 4 years of experience building interactive web applications. Strong in modern JavaScript frameworks. Skills: JavaScript, React, HTML, CSS, Redux, TypeScript, Webpack, REST APIs, Git. Frontend Developer, UIStack (2020-present): Built responsive UI components, improved performance by 25%. Developer, WebLab (2018-2020): Developed frontend features. Education: B.Tech CS, DTU.","Fullstack Engineer at startup. Required skills: Node.js, MongoDB, APIs, React. Responsibilities: build backend and frontend systems. Preferred: MERN stack.",0.59,medium,medium,49,19
"Business analyst with 3 years of experience in data analysis and stakeholder coordination. Skilled in reporting and requirement gathering. Skills: SQL, Excel, Tableau, Data Analysis, Requirements Gathering, Communication, Agile. Analyst, BizTech (2021-present): Built dashboards and reports. Junior Analyst, DataCorp (2019-2021): Assisted in analysis. Education: MBA, Pune University.","Data Scientist role requiring Python, ML, TensorFlow, NLP. Responsibilities: build models and pipelines.",0.46,medium,medium,47,13
"HR executive with 4 years of experience in recruitment and employee engagement. Strong communication skills. Skills: Recruitment, HRMS, Payroll, Employee Relations, Communication, Onboarding, Compliance. HR Exec, PeopleFirst (2020-present): Managed hiring and onboarding. Coordinator, TalentHub (2018-2020): Assisted HR operations. Education: MBA HR, Symbiosis.",HR Manager role requiring leadership and strategy. Responsibilities: lead HR team and operations. Preferred: 5+ years experience.,0.5,medium,medium,42,17
"Finance analyst with 3 years of experience in budgeting and reporting. Detail-oriented and analytical. Skills: Excel, Financial Reporting, Budgeting, Forecasting, Accounting, Power BI, SQL. Analyst, FinCorp (2021-present): Built reports and forecasts. Intern, AuditPro (2019-2021): Assisted audits. Education: B.Com, SRCC.","Senior Financial Analyst role requiring financial modeling, forecasting, SQL, leadership. Responsibilities: lead financial planning.",0.48,medium,medium,39,14
"Content marketer with 4 years of experience in SEO and digital campaigns. Skilled in content strategy and analytics. Skills: SEO, Content Marketing, Blogging, Copywriting, Analytics, Social Media, Email Marketing, Research. Marketer, GrowthMedia (2020-present): Increased traffic by 35%. Writer, MediaLab (2018-2020): Created content campaigns. Education: BA English, DU.","Marketing Manager role requiring leadership, campaign strategy, analytics, and team management.",0.52,medium,medium,47,11
"Senior DevOps engineer with 8 years of experience building highly reliable cloud infrastructure and automation systems. Strong expertise in scalability, observability, and CI/CD. Skills: AWS, Kubernetes, Docker, Terraform, Jenkins, CI/CD, Prometheus, Grafana, Linux, Networking, Python, Git. Lead DevOps Engineer, ScaleOps (2019-present): Architected multi-region Kubernetes clusters achieving 99.99% uptime, reduced deployment failures by 60%, implemented observability stack. DevOps Engineer, InfraCloud (2016-2019): Built CI/CD pipelines and automated infrastructure. Education: B.Tech IT, IIIT Hyderabad.","Senior DevOps Engineer at Series C startup. Required skills: AWS, Kubernetes, Docker, Terraform, CI/CD, monitoring (Prometheus/Grafana). Responsibilities: design scalable infrastructure, automate deployments, ensure reliability, implement observability. Preferred: multi-region and high availability systems experience.",0.94,high,high,71,33
"Machine learning engineer with 6 years of experience in recommendation systems and deep learning pipelines. Strong background in production ML systems. Skills: Python, PyTorch, TensorFlow, NLP, Recommendation Systems, SQL, Airflow, AWS, Docker, Feature Engineering, Data Pipelines. ML Engineer, RecoLabs (2020-present): Built recommendation engine improving engagement by 28%, deployed models on AWS SageMaker. Data Scientist, AIWorks (2018-2020): Developed NLP pipelines for text classification. Education: M.Tech AI, IIT Kanpur.","Machine Learning Engineer at AI startup. Required skills: Python, PyTorch or TensorFlow, recommendation systems, SQL, AWS, Docker. Responsibilities: build ML models, deploy pipelines, improve model performance. Preferred: large-scale recommender systems experience.",0.91,high,high,67,31
"Senior product manager with 8 years of experience leading B2B SaaS products. Strong focus on growth, analytics, and cross-functional leadership. Skills: Product Strategy, Roadmapping, Agile, Scrum, SQL, A/B Testing, User Research, Analytics, Stakeholder Management, Jira, Data-driven Decision Making. Senior PM, SaaSFlow (2019-present): Increased ARR by 40%, launched enterprise features, led cross-functional teams. Product Manager, AppSuite (2016-2019): Improved retention by 25% through experiments. Education: MBA, IIM Ahmedabad.","Senior Product Manager at SaaS company. Required skills: product strategy, A/B testing, analytics, SQL, agile. Responsibilities: define roadmap, lead teams, improve product metrics. Preferred: B2B SaaS experience.",0.92,high,high,66,27
"Data engineer with 7 years of experience building real-time data pipelines and large-scale ETL systems. Skilled in big data ecosystems. Skills: Python, SQL, Spark, Kafka, Airflow, Hadoop, AWS, Data Modeling, ETL, Docker, Linux, NoSQL. Senior Data Engineer, StreamData (2019-present): Built streaming pipelines processing 2TB daily, reduced latency by 50%. Data Engineer, InsightCorp (2016-2019): Developed ETL pipelines. Education: B.Tech CS, NIT Trichy.","Senior Data Engineer at data platform company. Required skills: Python, SQL, Spark, Kafka, Airflow, AWS, ETL. Responsibilities: build real-time pipelines, process large datasets, ensure data reliability. Preferred: streaming data experience.",0.93,high,high,61,30
"UX designer with 6 years of experience designing intuitive digital experiences across web and mobile. Strong focus on usability and research. Skills: Figma, Adobe XD, Prototyping, Wireframing, User Research, Usability Testing, Interaction Design, Design Systems, Accessibility, Mobile Design. Senior UX Designer, DesignHub (2019-present): Redesigned mobile app increasing retention by 30%, led usability studies. UI Designer, CreativeUX (2016-2019): Designed product interfaces. Education: B.Des, NID.","Senior UX Designer at product company. Required skills: Figma, prototyping, user research, usability testing, design systems. Responsibilities: design user flows, conduct research, improve UX. Preferred: mobile-first design experience.",0.9,high,high,63,28
"Backend developer with 3 years of experience in Java and Spring Boot building REST APIs. Skilled in backend services and database design. Skills: Java, Spring Boot, REST APIs, MySQL, Git, Docker, OOP, Microservices. Developer, CodeStack (2021-present): Built APIs and improved performance by 15%. Junior Dev, DevWorks (2019-2021): Developed backend modules. Education: B.Tech CS, IP University.","Backend Engineer requiring Python, Django, PostgreSQL, AWS, microservices. Responsibilities: build scalable backend systems. Preferred: Python ecosystem experience.",0.54,medium,medium,55,17
"Marketing analyst with 4 years of experience analyzing digital campaigns and customer data. Skilled in insights and reporting. Skills: Google Analytics, SQL, Excel, Tableau, Campaign Analysis, Reporting, SEO, SEM, Data Visualization. Analyst, MarketInsights (2020-present): Improved campaign ROI by 20%, built dashboards. Intern, AdLab (2018-2020): Assisted reporting. Education: MBA Marketing, Christ University.","Marketing Manager role requiring leadership, campaign strategy, analytics, SEO. Responsibilities: lead campaigns, manage team. Preferred: managerial experience.",0.51,medium,medium,51,17
"Junior data analyst with 2 years of experience in reporting and visualization. Strong attention to detail. Skills: SQL, Excel, Tableau, Data Cleaning, Reporting, Statistics. Analyst, DataCorp (2022-present): Built dashboards. Intern, InsightX (2021-2022): Assisted analysis. Education: B.Sc Statistics, DU.","Data Scientist role requiring Python, ML, TensorFlow, NLP. Responsibilities: build models, deploy pipelines.",0.45,medium,medium,38,13
"HR specialist with 4 years of experience in recruitment and employee engagement. Strong organizational skills. Skills: Recruitment, HRMS, Payroll, Communication, Onboarding, Employee Relations, Compliance. HR Specialist, PeopleHub (2020-present): Managed hiring pipeline. HR Exec, TalentWorks (2018-2020): Assisted onboarding. Education: MBA HR, Symbiosis.","HR Manager role requiring leadership and strategy. Responsibilities: lead HR operations, manage team. Preferred: 5+ years experience.",0.48,medium,medium,41,17
"Financial analyst with 3 years of experience in budgeting and reporting. Analytical and detail-oriented. Skills: Excel, Financial Reporting, Budgeting, Forecasting, Accounting, Power BI, SQL. Analyst, FinCorp (2021-present): Built financial reports. Intern, AuditPro (2019-2021): Assisted audits. Education: B.Com, SRCC.","Senior Finance Manager requiring leadership, strategy, advanced modeling. Responsibilities: lead finance team.",0.5,medium,medium,38,12
"Nurse with 6 years of experience in patient care and hospital operations. Compassionate and detail-oriented. Skills: Patient Care, Nursing, Medical Records, Communication, Emergency Care. Nurse, City Hospital (2019-present): Managed patient care. Education: B.Sc Nursing.","Software Engineer role requiring Python, APIs, cloud computing. Responsibilities: build backend systems.",0.07,low,low,34,12
"Artist with 5 years of experience in painting and visual arts. Creative and expressive. Skills: Painting, Creativity, Composition, Art Design, Visual Storytelling. Freelancer (2020-present): Created artworks. Education: BFA.","Data Engineer role requiring Python, SQL, Spark, AWS. Responsibilities: build data pipelines.",0.12,low,low,28,12
"Lawyer with 7 years of experience in corporate law and litigation. Strong analytical and communication skills. Skills: Legal Research, Contracts, Litigation, Negotiation, Compliance. Lawyer, LawFirm (2018-present): Handled legal cases. Education: LLB.","Product Manager role requiring analytics, roadmapping, agile. Responsibilities: define product strategy.",0.15,low,low,31,11
"Chef with 10 years of experience in culinary arts and kitchen management. Strong leadership in food operations. Skills: Cooking, Menu Planning, Food Safety, Kitchen Management, Team Leadership. Head Chef, GourmetHub (2016-present): Managed kitchen staff. Education: Culinary Diploma.","Cybersecurity Analyst requiring SIEM, network security, Python. Responsibilities: monitor threats.",0.1,low,low,37,10
"Senior software engineer with 7 years of experience building scalable distributed systems and backend APIs. Strong focus on system design and performance. Skills: Go, Python, Kubernetes, Docker, PostgreSQL, Redis, gRPC, REST APIs, AWS, CI/CD, microservices, Linux. Senior Backend Engineer, FinCore (2020-present): Built payment services handling 30K requests/sec, improved latency by 38%, led microservices migration. Software Engineer, TechBridge (2017-2020): Developed backend services and improved uptime to 99.95%. Education: B.Tech Computer Science, IIT Roorkee.","Senior Backend Engineer at fintech startup. Required skills: Go or Python, Kubernetes, PostgreSQL, Redis, REST APIs, AWS, microservices. Responsibilities: design scalable backend systems, optimize performance, lead architecture decisions, collaborate with teams. Preferred: fintech or high-throughput systems experience.",0.93,high,high,72,37
